iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,updated_date
GMB,Africa,Gambia,2021-06-10,6002,0,1,179,0,0,2483.589,0,0.414,74.069,0,0,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40810,30421,10389,NA,1458,1.69,1.26,0.43,603,38.89,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,NA,2021-06-10
GHA,Africa,Ghana,2021-06-10,94369,0,51.143,789,0,0.571,3037.015,0,1.646,25.392,0,0.018,1.06,NA,NA,NA,NA,NA,NA,NA,NA,3143,1199082,38.589,0.101,3498,0.113,0.017,59.3,samples tested,1228216,852047,376169,NA,54335,3.95,2.74,1.21,1749,42.59,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,NA,2021-06-10
GIN,Africa,Guinea,2021-06-10,23352,18,15.286,167,2,0.714,1778.144,1.371,1.164,12.716,0.152,0.054,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384974,289337,95637,9310,3713,2.93,2.2,0.73,283,58.33,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.477,NA,2021-06-10
GNB,Africa,Guinea-Bissau,2021-06-10,3800,6,2.286,68,0,0,1930.896,3.049,1.161,34.553,0,0,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18706,18706,NA,NA,475,0.95,0.95,NA,241,NA,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,0.48,NA,2021-06-10
KEN,Africa,Kenya,2021-06-10,174285,624,375.286,3362,17,19.857,3241.227,11.605,6.979,62.524,0.316,0.369,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059117,982310,76807,28672,12161,1.97,1.83,0.14,226,65.74,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,NA,2021-06-10
LSO,Africa,Lesotho,2021-06-10,10846,7,1.429,326,0,0,5062.896,3.268,0.667,152.176,0,0,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.59,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.527,NA,2021-06-10
LBR,Africa,Liberia,2021-06-10,2382,0,23.286,88,0,0.286,470.967,0,4.604,17.399,0,0.056,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64129,63662,467,NA,730,1.27,1.26,0.01,144,43.52,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,NA,2021-06-10
LBY,Africa,Libya,2021-06-10,188386,229,259.857,3155,3,3.286,27416.407,33.327,37.818,459.157,0.437,0.478,0.98,NA,NA,NA,NA,NA,NA,NA,NA,3457,NA,NA,0.503,NA,NA,NA,NA,samples tested,317809,317809,NA,NA,9240,4.63,4.63,NA,1345,79.63,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.724,NA,2021-06-10
MDG,Africa,Madagascar,2021-06-10,41840,54,50.286,875,1,3.571,1510.959,1.95,1.816,31.599,0.036,0.129,0.7,NA,NA,NA,NA,NA,NA,NA,NA,517,207682,7.5,0.019,445,0.016,0.118,8.5,tests performed,97300,97300,NA,NA,6421,0.35,0.35,NA,232,63.89,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,0.528,NA,2021-06-10
MWI,Africa,Malawi,2021-06-10,34447,15,11.714,1158,0,0.286,1800.684,0.784,0.612,60.533,0,0.015,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,356134,18.617,NA,1570,0.082,0.006,180.2,samples tested,369674,366198,3476,2318,1718,1.93,1.91,0.02,90,NA,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,NA,2021-06-10
